timestamp,video_path,dlc_path,frame,dlc_row,edited_point,image_path,label_path
2026-02-27T13:21:56.361240Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,0,0,NO_HEAD,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000000.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000000.txt
2026-02-27T13:21:56.435315Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,1,1,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000001.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000001.txt
2026-02-27T13:21:56.508307Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,2,2,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000002.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000002.txt
2026-02-27T13:21:56.582719Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,3,3,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000003.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000003.txt
2026-02-27T13:21:56.658945Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,4,4,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000004.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000004.txt
2026-02-27T13:21:56.737890Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,5,5,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000005.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000005.txt
2026-02-27T13:21:56.825342Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,6,6,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000006.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000006.txt
2026-02-27T13:21:56.903663Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,7,7,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000007.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000007.txt
2026-02-27T13:21:56.983552Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,8,8,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000008.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000008.txt
2026-02-27T13:21:57.063441Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,9,9,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000009.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000009.txt
2026-02-27T13:21:57.141515Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,10,10,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0000010.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0000010.txt
2026-02-27T13:21:57.259337Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,2710,2710,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0002710.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0002710.txt
2026-02-27T13:21:57.376957Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,2711,2711,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0002711.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0002711.txt
2026-02-27T13:21:57.499275Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,2712,2712,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0002712.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0002712.txt
2026-02-27T13:21:57.617923Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,2713,2713,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0002713.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0002713.txt
2026-02-27T13:21:57.737588Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,2714,2714,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0002714.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0002714.txt
2026-02-27T13:21:57.855867Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,2715,2715,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0002715.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0002715.txt
2026-02-27T13:21:57.976166Z,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/front_20260123T102239.mp4,/Volumes/Data/Bareket/experiments/reptilearn4/PV82/20260123/block3/videos/predictions/front_head_only_resnet_152__front_20260123T102239.parquet,2716,2716,APPLY_NEXT10,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/images/train/front_20260123T102239_f0002716.png,/Users/bareketdamari/Dev/PreyTouch/sandbox/videos/manual_labels/front_20260123T102239__0c66a3a4c5/labels/train/front_20260123T102239_f0002716.txt
